Especie	Talla	Movilidad	Actividad	Agrupamiento	Posicion 	Dieta
Anisotremus_interruptus	5	3	B	1	2	C
Bodianus_diplotaenia	5	3	A	1	1	C
Cephalopholis_panamensis	4	2	A	1	1	E
Chromis_atrilobata	2	2	A	4	2	D
Cirrhitichthys_oxycephalus	2	1	A	3	1	E
Crocodilichthys_gracilis	1	1	A	1	1	F
Elacatinus_oceanops	1	1	A	3	1	C
Halichoeres_chierchiae	3	2	A	1	1	C
Kyphosus_analogus	4	3	A	3	2	A
Muraena_lentiginosa	5	1	B	1	1	E
Paranthias_colonus	4	3	A	4	2	D
Pomacanthus_zonipectus	4	2	A	1	2	B
Scarus_perrico	5	3	A	1	1	A
Thalassoma_lucasanum	2	2	A	3	2	C
