Especie	Talla	Movilidad	Actividad	Agrupamiento	Posicion 	Dieta
Abudefduf_troschelii	3	2	A	4	2	D
Anisotremus_interruptus	5	3	B	1	2	C
Aulostomus_chinensis	5	2	A	1	1	E
Bodianus_diplotaenia	5	3	A	1	1	C
Cephalopholis_panamensis	4	2	A	1	1	E
Chromis_atrilobata	2	2	A	4	2	D
Crocodilichthys_gracilis	1	1	A	1	1	F
Haemulon_maculicauda	3	3	B	4	1	E
Halichoeres_chierchiae	3	2	A	1	1	C
Kyphosus_analogus	4	3	A	3	2	A
Lutjanus_novemfasciatus	6	4	B	1	1	E
Microspathodon_dorsalis	4	1	A	1	1	A
Myripristis_leiognathos	3	2	B	3	2	D
Paranthias_colonus	4	3	A	4	2	D
Pomacanthus_zonipectus	4	2	A	1	2	B
Scarus_perrico	5	3	A	1	1	A
Scarus_taeniopterus	4	3	A	4	1	A
Thalassoma_lucasanum	2	2	A	3	2	C
