Sitio,Riq_fun,Equi_fun,Disp_fun,Riq_grup
Fang_Ming,0.22889819,0.6748917,0.237997999,6
Fang_Ming,0.04973151,0.9537418,0.218872754,3
Fang_Ming,0.06032414,0.6202384,0.166535193,3
Fang_Ming,0.13718366,0.5419871,0.198351285,5
Fang_Ming,0.03050759,0.5049217,0.063860651,3
Fang_Ming,0.12771855,0.6893237,0.338664941,4
Fang_Ming,0.03050759,0.7880154,0.229446232,3
Fang_Ming,0.04611601,0.3241728,0.078999533,4
Fang_Ming,0.07614261,0.5725229,0.006815329,4
Fang_Ming,0.11062003,0.5637488,0.195613561,4
La_Ballena,0.23474454,0.6648164,0.20024974,7
La_Ballena,0.01739994,0.5353583,0.07302438,3
La_Ballena,0.2279247,0.5889243,0.24119253,7
La_Ballena,0.11999291,0.6817244,0.08273326,5
La_Ballena,0.08420289,0.4709452,0.26166194,5
La_Ballena,0.16365049,0.747097,0.13739315,6
La_Ballena,0.01278306,0.5827972,0.14448012,4
La_Ballena,0.08432134,0.4620539,0.15317212,7
La_Ballena,NA,NA,0.07628051,2
Los_Islotes,0.25754306,0.722231,0.24542889,6
Los_Islotes,0.06459382,0.323996,0.10885226,4
Los_Islotes,0.0241372,0.583553,0.09490843,3
Los_Islotes,0.201334,0.685813,0.06091509,6
Los_Islotes,NA,NA,0,1
Los_Islotes,0.13765851,0.7915244,0.286232,5
Los_Islotes,0.0781743,0.8966218,0.28027247,5
Los_Islotes,0.15125165,0.7762072,0.29904878,5
Los_Islotes,NA,NA,0.17307692,2
Los_Islotes,0.10564106,0.674474,0.03202794,4
